t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
6900.00000000,1233294.91660033,-938664.92164324,6678947.96292450,-7500.29486531,-190.87335120,1358.13446391,1257054.70262448,-906598.95270478,6678947.96292450,-7492.89368334,-383.92701506,1358.13446391
6960.00000000,780866.80369665,-948020.16549803,6745513.98179432,-7575.04687300,-120.85241061,859.90958331,805017.46234866,-927600.17497845,6745513.98179432,-7569.42380145,-315.85399692,859.90958331
7020.00000000,324963.61372391,-953156.45277464,6782060.56476780,-7616.08778995,-50.29364277,357.85786301,349397.66777503,-944473.31537943,6782060.56476780,-7612.26785306,-246.37533960,357.85786301
7080.00000000,-132385.75579825,-954050.92554898,6788425.06926385,-7623.23497251,20.48894593,-145.78642550,-107777.04476607,-957143.28368360,6788425.06926385,-7621.23517008,-175.80024267,-145.78642550
7140.00000000,-589145.97144415,-950699.60316543,6764579.17144601,-7596.45661371,91.18035305,-648.78192339,-564472.11912167,-965553.69496578,6764579.17144601,-7596.28584542,-104.44278517,-648.78192339
7200.00000000,-1043284.32168867,-943117.39995191,6710628.99227156,-7535.87188478,161.46598194,-1148.89015910,-1018655.13366374,-969667.12052845,6710628.99227156,-7537.53091060,-32.62052788,-1148.89015910
7260.00000000,-1492779.76304573,-931338.05884690,6626814.62522330,-7441.75040482,231.03304176,-1643.88551022,-1468304.84613751,-969465.25447005,6626814.62522330,-7445.23184163,39.34689994,-1643.88551022
7320.00000000,-1935631.91428063,-915414.00123387,6513509.06782606,-7314.51104092,299.57193952,-2131.56510811,-1911420.18875838,-964948.99515135,6513509.06782606,-7319.79939533,111.13922298,-2131.56510811
7380.00000000,-2369869.95866964,-895416.09365139,6371216.56170266,-7154.72004405,366.77765782,-2609.75864130,-2346029.17352687,-956138.44119752,6371216.56170266,-7161.79178139,182.43694519,-2609.75864130
7440.00000000,-2793561.41468911,-871433.33241707,6200570.34855679,-6963.08852912,432.35111231,-3076.33801395,-2770197.66813023,-943072.80205359,6200570.34855679,-6971.91217818,252.92277165,-3076.33801395
7500.00000000,-3204820.73610222,-843572.44756888,6002329.85206918,-6740.46931032,496.00048265,-3529.22681654,-3182038.00337567,-925810.22349136,6002329.85206918,-6751.00560338,322.28302058,-3529.22681654
7560.00000000,-3601817.70317045,-811957.42788649,5777377.29824848,-6487.85310584,557.44251124,-3966.40956641,-3579717.37384957,-904427.52884439,5777377.29824848,-6500.05515342,390.20901936,-3966.40956641
7620.00000000,-3982785.56764657,-776728.96910623,5526713.78927717,-6206.36412888,616.40376374,-4385.94067728,-3961465.99441750,-879019.87712249,5526713.78927717,-6220.17762844,456.39847817,-4385.94067728
7680.00000000,-4346028.91530166,-738043.84778552,5251454.84832506,-5897.25508462,672.62184600,-4785.95311761,-4325584.97626612,-849700.33952739,5251454.84832506,-5912.61856220,520.55683528,-4785.95311761
7740.00000000,-4689931.21099560,-696074.22360305,4952825.45515727,-5561.90159532,725.84657171,-5164.66671946,-4670453.88743672,-816599.39625403,4952825.45515727,-5578.74667912,582.39856796,-5164.66671946
